from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Bidhannagar, Kolkata - WBPCB"
